id,intent,tone,conf
53344,SocialFragility,Alarmist,0.398161703807531
53343,SocialFragility,Alarmist,0.39786198484792407
53342,SocialFragility,Alarmist,0.38423998000173937
52956,SocialFragility,Alarmist,0.525395665731712
52970,SocialFragility,Sensationalist,0.5539378555507841
52967,SocialFragility,Alarmist,0.3511745513109657
52957,SocialFragility,Alarmist,0.3511745513109657
52968,SocialFragility,Cynical,0.2956761233423123
52969,Economic,Cynical,0.3241278679881524
53346,SocialFragility,Alarmist,0.48877439397536704
52972,SocialFragility,Alarmist,0.4822019378459093
53422,Economic,Cynical,0.29165016954097234
52971,SocialFragility,Sensationalist,0.35257675991388
53420,Economic,Factual,0.32464285951598787
53407,Economic,Cynical,0.29165016954097234
53418,Economic,Factual,0.27943094175536315
53419,Economic,Sensationalist,0.4104865680170971
52964,SocialFragility,Alarmist,0.3511745513109657
53417,SocialFragility,Alarmist,0.5289560322708986
52965,Economic,Sensationalist,0.3650879964423228
52966,SocialFragility,Alarmist,0.3511745513109657
53274,Economic,Factual,0.6861187545597179
53185,SocialFragility,Cynical,0.33851842561543455
52979,SocialFragility,Alarmist,0.3725129961967468
52977,SocialFragility,Sensationalist,0.5039399106004548
52976,SocialFragility,Sensationalist,0.3761680371686783
52975,SocialFragility,Sensationalist,0.3700833781216339
52974,SocialFragility,Sensationalist,0.4231480118694073
52973,SocialFragility,Sensationalist,0.5017493963002143
53425,SocialFragility,Factual,0.3216564903268912
53424,SocialFragility,Factual,0.36296649453825935
53423,SocialFragility,Sensationalist,0.42318015184276275
53421,SocialFragility,Cynical,0.3040574281560761
53186,SocialFragility,Alarmist,0.5427248805733449
53277,Economic,Alarmist,0.5027849689353147
53276,SocialFragility,Sensationalist,0.3972495198249817
53275,MilitaryPresence,Cynical,0.30763545184388025
53228,SocialFragility,Alarmist,0.4333404650549131
53227,SocialFragility,Cynical,0.2775789954545772
53226,Economic,Alarmist,0.3597718578176863
52982,Economic,Alarmist,0.3450525632364239
52981,Economic,Alarmist,0.3364112402191852
52980,SocialFragility,Alarmist,0.3089440974938429
52978,Economic,Cynical,0.29866594459492524
53429,Economic,Alarmist,0.4497282612850046
53430,SocialFragility,Alarmist,0.5906366990971942
53431,Economic,Alarmist,0.49062055988840697
53432,SocialFragility,Alarmist,0.47019768717424865
53433,Economic,Factual,0.3798673748970032
53434,SocialFragility,Sensationalist,0.5211480732592606
53435,Economic,Factual,0.4300685851741786
53436,SocialFragility,Factual,0.32960717948731777
53437,SocialFragility,Sensationalist,0.39779516360072376
53438,Economic,Alarmist,0.3822507766255397
53439,SocialFragility,Factual,0.3599977102265806
53440,Economic,Alarmist,0.3822507766255397
53441,SocialFragility,Sensationalist,0.4206200549349328
53494,ResourceDependency,Factual,0.48422372354930393
53229,SocialFragility,Alarmist,0.32532843947410583
52983,Economic,Sensationalist,0.3717614515737484
53529,Economic,Cynical,0.3792620301246643
52995,SocialFragility,Sensationalist,0.3369453297327288
52996,SocialFragility,Cynical,0.5928066731156669
52997,SocialFragility,Sensationalist,0.47564423425551294
52998,SocialFragility,Sensationalist,0.38607341144323937
52994,SocialFragility,Sensationalist,0.5382120133748535
52993,SocialFragility,Sensationalist,0.3671229264101426
52992,SocialFragility,Sensationalist,0.3220780211007375
52991,SocialFragility,Cynical,0.3421001732624898
52990,SocialFragility,Alarmist,0.38261681823161964
52989,Economic,Sensationalist,0.37521605174521566
52988,Economic,Sensationalist,0.3128928351261147
